model,family,quant,threads,latency_s,energy_net_j,avg_power_w,prompt_tps,gen_tps,score,pareto
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,2,7.238304109589041,30.25723580821918,6.244265296803652,20.798173515981738,7.950684931506849,0.821917808219178,True
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,2,9.33471598173516,37.05598786757991,6.27833698630137,23.404109589041095,5.28904109589041,0.8356164383561644,True
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,2,4.704026484018265,19.890242173515983,6.130955707762557,31.701826484018262,18.55433789954338,0.8036529680365296,True
