model,family,quant,threads,latency_s,energy_net_j,avg_power_w,prompt_tps,gen_tps,score,n_energy,n_lat,n_score,composite
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,2,4.704026484018265,19.890242173515983,6.130955707762557,31.701826484018262,18.55433789954338,0.8036529680365296,0.0,0.0,0.3636363636363633,0.7454545454545454
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,2,7.238304109589041,30.25723580821918,6.244265296803652,20.798173515981738,7.950684931506849,0.821917808219178,0.34714933259709957,0.322064745130078,0.7272727272727266,0.6876364088442353
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,2,9.33471598173516,37.05598786757991,6.27833698630137,23.404109589041095,5.28904109589041,0.8356164383561644,0.5748124645584811,0.5884839994682226,1.0,0.652378214282963
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,2,5.4465223744292235,21.08014494520548,6.231701369863014,38.39086757990868,11.069863013698631,0.7853881278538812,0.03984510530272678,0.0943589397201412,0.0,0.565190169934881
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,2,9.206926484018265,38.88992407305936,6.274992694063927,14.889954337899544,8.64200913242009,0.8082191780821918,0.6362236848399987,0.57224406916334,0.4545454545454568,0.4128798940495153
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,2,12.572871689497717,49.75345278995434,6.260356621004566,15.872602739726027,5.252511415525114,0.8082191780821918,1.0,1.0,0.4545454545454568,0.18181818181818274
