model,family,quant,threads,latency_s,energy_net_j,avg_power_w,prompt_tps,gen_tps,score,n_energy,n_lat,n_score,composite
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,2,6.030480666666667,24.63187294888889,6.082862888888889,31.778000000000002,17.916666666666668,0.7133333333333334,0.0,0.0,1.0,1.0
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,2,6.794807333333334,26.043666295555553,6.284393333333333,41.233333333333334,11.494222222222222,0.6711111111111111,0.03584074016217076,0.07266194909503876,0.23999999999999844,0.6671313141161234
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,2,9.60196088888889,39.30340562666667,6.191082444444444,20.858,7.936,0.6866666666666666,0.3724614453854528,0.33952853592405785,0.5199999999999978,0.5911097146610065
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,2,16.549420444444443,64.0226148888889,6.259732666666666,16.80088888888889,5.357555555555556,0.7,1.0,1.0,0.759999999999998,0.3039999999999992
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,2,12.101404444444444,49.92495686222222,6.228111333333333,14.902444444444445,8.499555555555556,0.6622222222222223,0.6421073244027687,0.5771421745947402,0.08000000000000007,0.2597286353199445
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,2,12.863615333333334,48.73744306444444,6.167851555555555,22.978222222222225,5.094666666666667,0.6577777777777778,0.6119602964644121,0.6496029838579634,0.0,0.22529528464264248
