model,family,quant,accuracy,sd,n,se,ci95
gemma-2-2B-Q4_K_M,gemma-2-2B,Q4_K_M,0.6868008948545861,0.4404955370913445,149,0.03608680048314084,0.07073012894695604
gemma-2-2B-Q8_0,gemma-2-2B,Q8_0,0.6599552572706935,0.44090712977186125,149,0.03612051946935397,0.07079621815993378
llama-3.2-3B-Q4_K_M,llama-3.2-3B,Q4_K_M,0.6621923937360179,0.39892230418539987,149,0.0326809885395686,0.06405473753755446
llama-3.2-3B-Q8_0,llama-3.2-3B,Q8_0,0.7024608501118569,0.4029563043050105,149,0.033011466706104865,0.06470247474396554
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,0.7125279642058165,0.40956060301076974,149,0.033552511937344924,0.06576292339719605
qwen2.5-1.5B-Q8_0,qwen2.5-1.5B,Q8_0,0.6700223713646533,0.4093821787338932,149,0.033537894851043644,0.06573427390804554
