model,family,quant,threads,latency_s,energy_net_j,avg_power_w,prompt_tps,gen_tps,score,pareto
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,1,9.622641999999999,26.036710319999997,4.627569333333334,16.081333333333333,12.102,0.7466666666666667,True
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,2,6.378300666666666,27.204881366666665,6.071815999999999,31.825999999999997,18.065333333333335,0.72,True
qwen2.5-1.5B-Q4_K_M,qwen2.5-1.5B,Q4_K_M,4,5.870968666666667,30.093599020000003,7.574176666666667,55.98266666666667,15.957333333333333,0.7066666666666667,True
